std,memory-size
0.0,5.0
0.0,5.0
0.0,5.0
7.778174593,5.0
6.599663291,5.0
7.071067812,5.0
10.18233765,5.0
0.942809042,5.0
0.808122036,5.0
6.275572683,5.0
3.849803586,5.0
0.353553391,5.0
8.678128678,5.0
5.362226424,5.0
0.380749805,5.0
5.555838995,5.0
1.225651754,5.0
0.839689303,5.0
6.114393931,5.0
7.778174593,5.0
2.009671904,5.0
2.793071786,5.0
5.353808486,5.0
1.735625736,5.0
5.103466334,5.0
4.890821903,5.0
4.016366517,5.0
2.937212783,5.0
3.509344766,5.0
2.702158057,5.0
5.583705272,5.0
1.296362432,5.0
5.360325599,5.0
5.08232999,5.0
2.871282081,5.0
0.727904039,5.0
5.475026791,5.0
1.885618083,5.0
4.586638581,5.0
4.484545639,5.0
2.991605613,5.0
0.848528137,5.0
6.070770414,5.0
3.16514464,5.0
3.782199062,5.0
4.596194078,5.0
3.111269837,5.0
0.415040937,5.0
4.558582015,5.0
3.078860776,5.0
3.708702914,5.0
3.988082246,5.0
1.830158728,5.0
0.285562354,5.0
3.749000104,5.0
3.679574176,5.0
2.918422533,5.0
3.384011024,5.0
1.935239612,5.0
0.182872443,5.0
1.570016751,5.0
3.62981481,5.0
4.961339383,5.0
2.771402384,5.0
1.335646142,5.0
4.79506786,5.0
4.329669214,5.0
1.478495997,5.0
4.939193636,5.0
2.100523085,5.0
3.463798435,5.0
5.505331368,5.0
5.726569003,5.0
1.4633182,5.0
4.232954293,5.0
2.799760634,5.0
2.762430492,5.0
4.121688211,5.0
5.004846698,5.0
0.054392829,5.0
4.242640687,5.0
2.793071786,5.0
1.361835282,5.0
4.139161646,5.0
3.595169418,5.0
0.757614408,5.0
4.941428565,5.0
2.104876,5.0
2.080682023,5.0
3.455180863,5.0
2.876097245,5.0
1.44564053,5.0
4.926436256,5.0
0.722478668,5.0
2.113717045,5.0
4.889568168,5.0
3.557863594,5.0
0.721838172,5.0
5.613115686,5.0
1.443075064,5.0
2.128462836,5.0
6.307392488,5.0
4.256642802,5.0
1.414213562,5.0
4.901691668,5.0
1.448209081,5.0
2.835161475,5.0
6.310594481,5.0
4.956355943,5.0
1.407666277,5.0
4.897849723,5.0
2.153461561,5.0
4.236270356,5.0
4.899239841,5.0
4.95600505,5.0
1.408010871,5.0
5.601515458,5.0
3.559916898,5.0
2.828427125,5.0
4.206686105,5.0
4.242640687,5.0
1.402428449,5.0
6.299678596,5.0
4.271620473,5.0
2.83417596,5.0
4.214128317,5.0
5.639883687,5.0
0.718330698,5.0
6.302715561,5.0
2.867097027,5.0
2.143246135,5.0
6.336764616,5.0
6.342369984,5.0
0.021427478,5.0
4.891264953,5.0
0.058046079,5.0
2.163222968,5.0
6.358761716,5.0
4.918779288,5.0
0.732726592,5.0
5.590721961,5.0
0.065659915,5.0
2.171469761,5.0
6.368940656,5.0
4.910189047,5.0
0.741480027,5.0
6.285935455,5.0
0.62477243,5.0
2.188663847,5.0
6.387849773,5.0
4.190438173,5.0
0.754247233,5.0
6.27498733,5.0
0.614066415,5.0
2.199887764,5.0
5.698178672,5.0
2.769121395,5.0
0.761499611,5.0
5.566776953,5.0
2.7210185,5.0
0.809392668,5.0
5.72314551,5.0
0.768594327,5.0
0.061107993,5.0
4.858647822,5.0
4.126226766,5.0
0.818529668,5.0
4.327834275,5.0
3.599046491,5.0
1.34266109,5.0
2.740561785,5.0
6.239177481,5.0
0.827025475,5.0
4.337195664,5.0
5.718164086,5.0
2.751214315,5.0
1.329360749,5.0
6.243431466,5.0
0.822960435,5.0
5.037142688,5.0
5.009002227,5.0
4.160144896,5.0
0.082040013,5.0
6.247404968,5.0
